timestamp,Typ,Konzentration (mol/L),pH,Kategorie,favorite
2026-05-13 10:39:16.546312+02:00,starke Base,0.1200009999999999,13.08,basisch,False
2026-05-13 10:39:25.182385+02:00,starke Säure,0.080001,1.1,sauer,False
